,Date,kW/h price daily mean,kW/h price daily std,Hydraulic availability,Thermal availability,Solar availability,Flow contribution (m3/s),Energy contribution (gWh),Daily volume (Mm3),Volume (Mm3),Daily useful volume (gWh),Energy volume (gWh),Volume shedding (m3),Energy shedding (gWh)
0,2000-01-01,32.86812133333335,2.85773803324704,172.6810500000002,81.60618000000014,,719.1,56.6773,5454.006799999998,6024.512000000001,10732.350531920001,11548.8853,16212.9922,23.887805590430002
1,2000-01-02,33.034788000000006,3.6742346141747673,172.50399000000027,79.41920000000006,,768.34,54.645199999999996,5421.880800000001,5992.386,10712.492849420001,11529.027600000001,14161.0631,20.584258204010002
2,2000-01-03,37.272288000000025,7.710766752602717,172.38623000000032,79.41020000000003,,757.5,57.48830000000001,5390.912899999999,5961.4181,10677.373760010001,11493.9081,13370.1628,19.36944777192
3,2000-01-04,41.68895466666668,8.150672373793926,171.9536700000002,79.40320000000003,,739.9300000000001,58.41819999999999,5364.317800000001,5934.8229999999985,10643.98014752,11460.515,13292.4191,18.71028107383
4,2000-01-05,40.89312133333335,7.956234452721128,172.34434000000033,79.40320000000004,,729.85,63.0395,5345.9628,5916.468,10614.021370419998,11430.556600000002,16737.635599999998,21.16674427638
5,2000-01-06,36.82645466666669,6.774178382182092,169.25233000000014,78.88968000000007,,741.1200000000001,59.742599999999996,5327.907799999999,5898.413,10586.727195520001,11403.2621,10845.1959,11.96830597201
6,2000-01-07,38.493121333333356,5.978069825669463,171.6440600000002,78.03430000000002,,887.9300000000001,64.10940000000001,5331.9087,5902.4139,10563.50959613,11380.044299999998,11759.394900000001,13.383438315900001
7,2000-01-08,32.284788000000006,0.0,171.3999100000003,79.15843000000011,,1089.55,70.7741,5347.841700000001,5918.3469000000005,10564.994502030002,11381.529500000002,15152.601199999997,17.34468249276
8,2000-01-09,32.284788000000006,0.0,172.48750000000024,78.98100000000011,,1202.18,80.3384,5377.6608,5948.166,10565.872182019997,11382.407200000001,8631.162,9.58527456192
9,2000-01-10,32.284788000000006,0.0,171.87820000000028,78.88424000000012,,1025.3700000000001,69.7286,5383.692799999999,5954.198,10566.466773320002,11383.001600000001,8915.4769,9.773177811730001
10,2000-01-11,33.99312133333335,5.834523688071432,170.66274000000024,80.14035000000004,,1098.86,83.6601,5384.1997,5954.7049,10561.63088103,11378.1657,9510.8559,9.70268303312
11,2000-01-12,35.90562133333335,7.2188147387146655,167.07984000000016,80.22955000000009,,1048.45,59.23749999999999,5384.3757,5954.880899999999,10529.77184323,11346.306800000004,5572.7409,5.46971001924
12,2000-01-13,35.84312133333335,7.094450781001865,165.60454000000016,80.58620000000008,,984.7,62.38380000000001,5378.072800000001,5948.5779999999995,10503.653786020002,11320.188700000002,6171.979,5.245076864710001
13,2000-01-14,36.668121333333346,7.762768817254893,168.26456000000022,80.60975000000006,,905.1,53.02129999999999,5360.4998,5931.005,10467.871243219999,11284.4059,4570.8489,2.8744913600700004
14,2000-01-15,33.034788000000006,3.6742346141747673,169.9362400000002,81.72378000000008,,937.9200000000001,58.030499999999996,5347.6218,5918.1269999999995,10441.35176392,11257.887099999998,4315.379999999999,2.6883502427600003
15,2000-01-16,32.284788000000006,0.0,170.68757000000028,78.30610999999999,,885.9100000000001,54.523999999999994,5331.966799999999,5902.472,10424.90402412,11241.439199999999,3237.7001,2.0625256301799997
16,2000-01-17,33.784788000000006,5.08193732315952,168.5997800000002,77.28452999999996,,800.53,51.312200000000004,5299.067799999999,5869.573,10396.064061819998,11212.5992,6948.263999999999,6.64050501387
17,2000-01-18,38.88895466666669,9.64588126416238,164.98334000000003,76.23701000000004,,1198.8400000000001,63.04050000000001,5292.736800000001,5863.242,10369.776385319998,11186.311500000002,6439.1439,5.17544835925
18,2000-01-19,35.909788000000006,8.344810936457304,165.1762300000001,76.72897,,897.6300000000001,53.71670000000001,5261.885700000001,5832.390899999999,10337.206984030001,11153.742099999998,4202.9871,2.90365248582
19,2000-01-20,39.03145466666668,9.070703278743856,170.4453100000001,75.57170000000004,,760.07,58.2131,5224.6318,5795.137,10325.237366820002,11141.772599999998,950.131,0.98050998416
20,2000-01-21,37.307913000000006,8.72735626742018,170.79148000000015,74.91482000000005,,1020.73,105.0143,5204.6398,5775.144999999999,10343.237698419998,11159.7726,857.779,1.11821023527
21,2000-01-22,35.138954666666685,6.493272717182772,171.78949000000023,74.21709000000003,,991.2400000000001,79.96759999999999,5201.006799999999,5771.512,10340.181441919998,11156.7165,1060.301,1.38222016472
22,2000-01-23,32.326454666666685,0.20412414523193168,171.7686500000002,75.98462000000008,,729.89,54.7112,5187.112800000001,5757.617999999999,10328.22477952,11144.7598,921.459,1.2009912408299999
23,2000-01-24,34.30562133333334,5.1921327750379405,170.94268000000025,78.73023000000012,,625.61,47.57329999999999,5156.0668000000005,5726.572,10292.89689502,11109.4318,780.941,1.00785568472
24,2000-01-25,37.20978800000001,7.282752107608055,164.32532000000035,81.5602000000002,,616.28,45.973000000000006,5123.440800000001,5693.946,10258.94810652,11075.4835,648.864,0.7956233188799999
25,2000-01-26,44.24745466666668,8.563861596807563,161.1591100000003,78.18809000000012,,748.5100000000001,52.627800000000015,5107.9928,5678.498,10229.03786472,11045.5732,458.81,0.5981098138800001
26,2000-01-27,43.40978800000002,6.771503590013468,166.68097000000017,76.7248600000001,,675.27,52.977999999999994,5096.797799999999,5667.303,10201.367643119998,11017.9025,11721.712,8.34728900444
27,2000-01-28,46.02853800000002,8.353420446270732,170.50747000000032,77.32274000000002,,818.44,45.3012,5077.230799999999,5647.735999999999,10164.10007882,10980.635,222.221,0.28968976471999996
28,2000-01-29,37.15770466666668,7.405094884849431,172.22000000000028,81.3107700000001,,891.0509999999999,58.131299999999996,5066.4998000000005,5637.005,10142.381412919998,10958.9164,3025.593,3.1714544149900004
29,2000-01-30,35.61812133333335,6.062476654668932,167.39457000000036,82.35121000000015,,984.9,61.9134,5064.3548,5634.860000000001,10131.598283620002,10948.1331,300.494,0.26697119471999997
30,2000-01-31,44.11607966666667,8.684317201660585,164.48207000000036,80.71525000000008,,1131.04,64.3674,5081.7047999999995,5652.21,10115.865978220001,10932.401000000002,102.989,0.13425760472
31,2000-02-01,40.13279866666668,8.201643779658184,168.8425000000004,79.74965000000012,,1107.8899999999999,79.56220000000002,5625.8998,6616.905,10182.31731912,11052.272799999997,1112.192,0.65458317666
32,2000-02-02,37.625132000000015,6.833943461803766,170.35551000000035,82.47402000000014,,1109.6499999999999,92.8541,5616.848800000001,6607.854000000001,10193.723644719998,11063.691400000002,1488.4229999999998,1.13397058999
33,2000-02-03,34.88321533333335,3.634576306467678,169.8154100000002,82.84819000000013,,949.4499999999997,105.15870000000001,5597.692799999999,6588.698,10218.90653602,11088.883500000002,3459.601,4.65599171942
34,2000-02-04,35.43929866666668,4.6763444373892575,170.61598000000038,82.09548000000008,,834.7569999999998,75.43079999999999,5571.241799999999,6562.246999999999,10208.413742220002,11078.4012,5863.74,9.41479705554
35,2000-02-05,34.595757000000006,3.2705005109908325,172.00773000000038,82.49420000000019,,727.33,55.2498,5543.025799999999,6534.031,10179.549536920002,11049.558200000001,3516.73,6.819962402770001
36,2000-02-06,33.88325700000001,0.4084524146090955,172.26247000000026,82.82721000000015,,942.5000000000001,60.8382,5557.451800000001,6548.457,10177.335093020003,11047.351700000001,5630.464,8.44781244776
37,2000-02-07,37.24988200000001,6.769432575283131,172.1339500000002,82.70986000000018,,763.0759999999999,65.4913,5532.613799999999,6523.618999999999,10153.43401332,11023.453799999997,11614.75,13.49990955498
38,2000-02-08,38.66946533333334,7.767104815189826,171.5016100000002,81.19671000000017,,603.9399999999999,48.3264,5485.386799999999,6476.392,10114.81826222,10984.8287,5926.241999999999,10.347684756649999
39,2000-02-09,35.88238200000001,5.638674104093436,169.8040500000002,81.43188000000015,,608.8299999999999,44.47520000000001,5438.046800000001,6429.052000000001,10073.28964902,10943.281800000002,4842.237,8.760970662490001
40,2000-02-10,37.25742366666668,6.793385964874486,171.95211000000026,81.76246000000016,,736.8800000000001,47.5568,5401.906799999999,6392.912,10042.61336882,10912.5844,3462.4970000000003,6.109258861380001
41,2000-02-11,36.387382000000024,5.898880697069642,159.73788000000016,82.80170000000015,,601.9399999999999,42.18019999999999,5345.542800000001,6336.548000000001,9991.855971220002,10861.819000000001,4707.232000000001,7.070525408599999
42,2000-02-12,41.59154866666668,9.505052051028104,169.04875000000018,82.07562000000009,,518.0999999999999,42.580099999999995,5290.983799999999,6281.9890000000005,9956.952858120001,10826.915699999998,4485.0560000000005,6.36131523721
43,2000-02-13,37.968632000000014,8.269953636639922,170.24674000000027,82.05723000000016,,473.40999999999997,36.537,5243.706800000001,6234.7119999999995,9927.017177419997,10796.9766,2546.652,5.04170472832
44,2000-02-14,42.774882,9.649769089375189,171.58025000000038,79.43378000000007,,466.93,36.898300000000006,5159.514800000001,6150.52,9874.38211352,10744.3142,9553.854,15.37853859499
45,2000-02-15,49.84154866666668,7.478834870117983,170.68877000000023,78.80694000000008,,450.1500000000001,34.2522,5083.800800000001,6074.8060000000005,9818.56493092,10688.473600000001,13555.074999999999,20.86008438193
46,2000-02-16,48.82071533333335,7.936540652969144,169.92137000000034,77.71231000000004,,483.78,44.37300000000001,5015.9348,6006.939999999999,9769.36472552,10639.2461,8695.124999999998,13.9160987225
47,2000-02-17,48.42488200000002,9.79157801378307,168.9339800000004,77.87253000000005,,786.61,70.9612,4979.539800000001,5970.545000000001,9742.92208092,10612.7824,9874.608,14.401737651649999
48,2000-02-18,51.93529866666668,9.657802423166851,171.25746000000018,78.1848600000001,,734.46,69.64069999999998,4944.3348,5935.34,9716.84130482,10586.682200000001,7933.6630000000005,11.69053719026
49,2000-02-19,40.142007000000014,14.535813990795285,172.8021100000002,80.29373000000012,,825.96,70.79320000000001,4918.709800000001,5909.714999999999,9688.06571492,10557.8795,7350.148999999999,8.701597606370001
50,2000-02-20,37.24221533333334,12.257974184238165,172.21025000000014,77.98720000000007,,814.0300000000001,66.6038,4920.9708,5911.975999999999,9678.23690052,10548.041700000002,6167.032,7.85106206443
51,2000-02-21,51.71863200000002,9.429034858858312,172.04015000000015,81.62735000000013,,728.16,54.736000000000004,4890.096799999999,5881.102000000001,9657.911740419999,10527.6956,3869.5179999999996,5.07494835944
52,2000-02-22,43.17488200000002,9.881086456722123,167.8305100000001,82.50613000000017,,1162.9699999999998,72.3387,4901.5828,5892.588000000001,9635.27458962,10505.0306,1483.255,1.1208360136
53,2000-02-23,47.17446533333335,9.253513071621322,170.45649000000023,82.74120000000016,,1092.17,66.22070000000001,4930.447799999999,5921.453,9612.054430520002,10481.832700000003,1224.629,0.91844829388
54,2000-02-24,44.01979866666668,9.915346896589655,170.5568000000002,82.72311000000019,,1342.05,78.4445,4992.425799999999,5983.430999999999,9604.660645920001,10474.5223,2878.6890000000003,2.68806694333
