Date,min,max,mean,median,std,fluctuation
1995-07-20,1.073,2.827,1.4094347826086957,1.073,0.6275184768077972,1.754
1995-07-21,1.0,16.67,4.924333333333334,5.0,4.33745533159976,15.670000000000002
1995-07-22,1.0,2.5,1.2695000000000003,1.188,0.40146135230094604,1.5
1995-07-23,0.1,1.238,0.9530833333333333,1.0,0.34437680534259424,1.138
1995-07-24,0.99,22.5,4.305916666666667,2.5,5.6718707205836845,21.51
1995-07-25,0.989,1.5,1.1491666666666664,1.073,0.13918978806453178,0.511
1995-07-26,0.0,8.0,1.1086250000000002,0.99,1.5002213695347417,8.0
1995-07-27,0.5,1.5,0.5859583333333334,0.5,0.24593185326279995,1.0
1995-07-28,0.0,1.073,0.4997916666666667,0.463,0.412064471440075,1.073
1995-07-29,0.0,1.072,0.9276666666666668,1.07,0.3589354630942263,1.072
1995-07-30,0.0,1.073,0.6694583333333334,1.036,0.5133206455471351,1.073
1995-07-31,0.0,8.845,0.6794583333333334,0.0,1.8047559627675225,8.845
1995-08-01,0.0,17.0,1.1069166666666668,0.0,3.424754575994768,17.0
1995-08-02,1.073,1.1,1.0775000000000003,1.073,0.010278724332962962,0.027000000000000135
1995-08-03,1.073,2.0,1.517916666666667,1.3,0.4608869442307071,0.927
1995-08-04,1.073,2.0,1.7860416666666667,2.0,0.38718431507562345,0.927
1995-08-05,1.073,2.558,2.3837916666666668,2.5,0.3457334961532058,1.4849999999999999
1995-08-06,1.0,3.2,2.387583333333334,3.0,0.9597716176106765,2.2
1995-08-07,1.073,8.0,3.707208333333334,3.5,1.2108186587079677,6.927
1995-08-08,3.0,9.0,6.650000000000001,7.0,1.8408410176258871,6.0
1995-08-09,10.0,18.0,13.991958333333335,13.788,2.5759759902872212,8.0
1995-08-10,18.0,22.0,20.041666666666668,21.0,1.488482351304485,4.0
1995-08-11,6.0,25.0,21.191666666666666,25.0,7.43282476976089,19.0
1995-08-12,1.074,40.0,30.71075,31.0,9.83402617910408,38.926
1995-08-13,17.0,40.0,34.327833333333324,39.745999999999995,8.8831028248637,23.0
1995-08-14,1.074,40.0,33.19025,40.0,12.357090656784873,38.926
1995-08-15,1.074,23.3,14.513250000000001,20.0,8.851401555685968,22.226
1995-08-16,1.074,20.0,8.664333333333333,8.0,5.670191796975899,18.926
1995-08-17,1.0,8.0,1.81325,2.0,1.4013241951811153,7.0
1995-08-18,1.075,8.0,1.9416666666666667,2.0,1.3635524787549764,6.925
1995-08-19,1.0,2.0,1.1018333333333337,1.0,0.27850340200352347,1.0
1995-08-20,1.0,3.1,2.0680416666666672,2.0,0.8016563548253602,2.1
1995-08-21,0.99,2.0,1.4167499999999997,1.08,0.4621450224108558,1.01
1995-08-22,0.4,1.074,0.8993333333333334,1.074,0.29520849915104835,0.674
1995-08-23,0.4,8.4,1.2360833333333336,1.0,1.545141555824654,8.0
1995-08-24,0.4,10.0,1.4047499999999997,1.072,1.8359241778887605,9.6
1995-08-25,1.0,8.4,1.5459583333333333,1.075,1.5172453150412075,7.4
1995-08-26,1.074,2.5,1.1338333333333335,1.074,0.2909930025554427,1.426
1995-08-27,1.074,1.075,1.0745416666666665,1.075,0.0005089773777039888,0.0009999999999998899
1995-08-28,1.074,10.0,1.4641666666666666,1.075,1.8201940094078042,8.926
1995-08-29,1.073,10.0,1.8039583333333333,1.074,2.294606634454816,8.927
1995-08-30,1.074,10.0,1.8085833333333337,1.074,2.2939682329150046,8.926
1995-08-31,1.074,14.536,1.7189166666666666,1.2,2.730642859755964,13.462
1995-09-01,1.15,14.665,1.7589583333333334,1.2,2.7489942742624134,13.514999999999999
1995-09-02,1.2,24.4,3.3833333333333333,1.5,5.05118726178541,23.2
1995-09-03,1.5,8.4,2.245833333333333,2.0,1.4027857894256317,6.9
1995-09-04,5.0,40.572,10.1685,8.5,9.563569812847993,35.572
1995-09-05,8.5,16.0,12.104166666666666,15.0,3.3943020242583093,7.5
1995-09-06,14.5,22.0,15.25,14.5,2.0903505010861947,7.5
1995-09-07,15.0,20.0,15.208333333333334,15.0,1.0206207261596574,5.0
1995-09-08,14.9,20.0,15.391666666666666,15.0,1.4200173503736913,5.1
1995-09-09,14.9,15.0,14.970833333333331,15.0,0.04643056214875356,0.09999999999999964
1995-09-10,14.9,15.0,14.933333333333332,14.9,0.04815434123430727,0.09999999999999964
1995-09-11,14.0,20.0,15.051499999999999,15.0,1.1069276320558163,6.0
1995-09-12,1.074,20.0,11.726833333333333,15.0,6.363872130452782,18.926
1995-09-13,7.07,15.0,12.988333333333335,15.0,3.493323653045554,7.93
1995-09-14,1.08,20.0,11.703333333333331,15.0,6.349002432198146,18.92
1995-09-15,1.074,15.0,11.476833333333333,15.0,6.138601934491673,13.926
1995-09-16,1.074,15.0,8.51725,14.15,6.99882938814398,13.926
1995-09-17,1.073,15.0,5.421041666666667,1.074,5.897629512588395,13.927
1995-09-18,1.074,15.0,8.454916666666668,10.0,5.203592203357271,13.926
1995-09-19,8.4,15.0,11.093166666666667,10.0,2.473731342248626,6.6
1995-09-20,10.0,20.0,14.25,15.0,2.7226904852114338,10.0
1995-09-21,1.075,15.0,11.518749999999999,15.0,6.159387718370828,13.925
1995-09-22,1.075,20.0,11.935416666666667,15.0,6.554234097241972,18.925
1995-09-23,1.075,15.0,10.717708333333333,15.0,6.352256870279609,13.925
1995-09-24,1.073,15.0,6.15725,1.074,6.709761728744303,13.927
1995-09-25,1.073,15.0,10.896416666666667,15.0,6.442050159198017,13.927
1995-09-26,1.074,20.0,11.8685,15.0,6.526234156147753,18.926
